# OESM — Dati puliti World Bank — San Marino
# Valori in unità originali (USD per indicatori monetari, % per ratios)
# NON convertiti in EUR — usare script 03 per la conversione
# Generato: 2026-03-23
# Indicatori: 10
# Anni coperti: 1990–2024
# Osservazioni totali: 210
#
country_code,country,year,indicator_id,label_it,label_en,value_original,unit_original,category,eur_convert,source,source_code,source_url,retrieved_date
SMR,San Marino,2017,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),43.295388835887,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2018,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),44.3657869864291,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2019,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),44.1548282272791,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2020,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),47.440336858793,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2021,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),44.0740495328967,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2022,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),44.64064259247,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2023,GC.XPN.TOTL.GD.ZS,Spesa pubblica (% PIL),Government expenditure (% GDP),40.4897504268959,% PIL,finanza_pubblica,False,World Bank,GC.XPN.TOTL.GD.ZS,https://data.worldbank.org/indicator/GC.XPN.TOTL.GD.ZS?locations=SM,2026-03-23
SMR,San Marino,2015,NE.EXP.GNFS.ZS,Esportazioni (% PIL),Exports of goods & services (% GDP),174.452680954757,% PIL,commercio,False,World Bank,NE.EXP.GNFS.ZS,https://data.worldbank.org/indicator/NE.EXP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2016,NE.EXP.GNFS.ZS,Esportazioni (% PIL),Exports of goods & services (% GDP),173.068169220566,% PIL,commercio,False,World Bank,NE.EXP.GNFS.ZS,https://data.worldbank.org/indicator/NE.EXP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2017,NE.EXP.GNFS.ZS,Esportazioni (% PIL),Exports of goods & services (% GDP),168.778681335859,% PIL,commercio,False,World Bank,NE.EXP.GNFS.ZS,https://data.worldbank.org/indicator/NE.EXP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2018,NE.EXP.GNFS.ZS,Esportazioni (% PIL),Exports of goods & services (% GDP),166.597497668983,% PIL,commercio,False,World Bank,NE.EXP.GNFS.ZS,https://data.worldbank.org/indicator/NE.EXP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2019,NE.EXP.GNFS.ZS,Esportazioni (% PIL),Exports of goods & services (% GDP),163.997239164221,% PIL,commercio,False,World Bank,NE.EXP.GNFS.ZS,https://data.worldbank.org/indicator/NE.EXP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2020,NE.EXP.GNFS.ZS,Esportazioni (% PIL),Exports of goods & services (% GDP),164.47869441727,% PIL,commercio,False,World Bank,NE.EXP.GNFS.ZS,https://data.worldbank.org/indicator/NE.EXP.GNFS.ZS?locations=SM,2026-03-23
